timestamp,exchange,open_price,base_strike,expiry_1_date,expiry_2_date,expiry_3_date,expiry_4_date,expiry_5_date,total_oi_call_all_expiries,total_oi_put_all_expiries,total_oi_change_call_all_expiries,total_oi_change_put_all_expiries,total_volume_call_all_expiries,total_volume_put_all_expiries,avg_iv_call_all_expiries,avg_iv_put_all_expiries,created_at,pc_oi_ratio,pc_volume_ratio,oi_change_diff_put_call,pc_oi_change_ratio,total_oi_all,total_oi_change_all,total_volume_all,iv_skew,iv_diff_put_call,sentiment_score_oi_change,oi_change_diff_ma5,oi_change_diff_ma15,oi_change_diff_ma30,total_oi_change_ma5,volume_ma5,trend_direction,is_turning_point,is_volume_spike,sentiment_label,prediction_signal,prev_oi_change_diff,prev_total_oi_change,prev_volume,oi_change_diff_std30
2025-12-19 14:33:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10982335,25604180,0,-975,980990,1644290,7.609999999999999,9.324,2025-12-20 01:36:39,2.3313967384895835,1.6761536814850304,-975,,36586515,-975,2625280,1.2252299605781867,1.7140000000000004,45.125,45181,30157,79440,-317957,2661683,BULLISH_TURN,f,t,NEUTRAL,BULLISH_PREDICT,102515,-129815,1235190,190500.89
2025-12-19 14:32:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10982335,25605155,-116165,-13650,448865,786325,7.590000000000001,9.34,2025-12-20 01:36:38,2.331485517424118,1.75180733628151,102515,-0.11750527267249171,36587490,-129815,1235190,1.2305665349143609,1.7499999999999991,100,79261,30213.333333333332,79474.66666666667,-314343,2441571,BEARISH_TURN,f,f,STRONG_BEARISH,BEARISH_PREDICT,-122680,-150900,1845050,190485.84
2025-12-19 14:29:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11098500,25618805,-14110,-136790,638235,1206815,7.647999999999999,9.322,2025-12-20 01:36:35,2.3083123845564715,1.890863083347043,-122680,-9.694542877391921,36717305,-150900,1845050,1.2188807531380754,1.6740000000000004,0,59096,11983,99126.66666666667,-288718,2368080,BULLISH_TURN,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,246850,-1308290,2043725,220924.63
2025-12-19 14:26:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11112610,25755595,-777570,-530720,891410,1152315,7.489999999999999,9.386000000000001,2025-12-20 01:36:31,2.317690893498467,1.2926879886920721,246850,-0.68253662049719,36868205,-1308290,2043725,1.2531375166889187,1.8960000000000017,100,83853,20170.333333333332,103207.33333333333,-258317,2205456,BEARISH_CONTINUE,t,f,STRONG_BEARISH,BEARISH_PREDICT,195,195,5559170,217794.83
2025-12-19 14:24:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11890180,26286315,0,195,2570650,2988520,7.414,9.456,2025-12-20 01:36:29,2.210758373716798,1.1625542178048354,195,,38176495,195,5559170,1.275424871864041,2.042,50.975,68860,46862.333333333336,116437.66666666667,-52162,2135062,BEARISH_CONTINUE,f,t,NEUTRAL,BEARISH_PREDICT,169425,17095,1524720,237944.92
2025-12-19 14:23:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11890180,26286120,-76165,93260,522605,1002115,7.514000000000001,9.436000000000002,2025-12-20 01:36:28,2.210741973628658,1.917538102390907,169425,1.2244469244403597,38176300,17095,1524720,1.2557891935054566,1.9220000000000006,100,68834,45656,116439.83333333333,-52188,1513878,BEARISH_CONTINUE,t,f,STRONG_BEARISH,BEARISH_PREDICT,1690,-1690,867735,237943.83
2025-12-19 14:22:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11966345,26192860,-1690,0,377080,490655,7.425999999999999,9.475999999999999,2025-12-20 01:36:27,2.1888772219086112,1.301196032672112,1690,0,38159205,-1690,867735,1.2760570966873148,2.05,58.45,83102,34421.666666666664,127003.83333333333,-55096,1341004,BEARISH_CONTINUE,t,f,NEUTRAL,NEUTRAL_PREDICT,1105,1105,1031930,247231.23
2025-12-19 14:21:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11968035,26192860,0,1105,469640,562290,7.38,9.498000000000001,2025-12-20 01:36:25,2.1885681316941334,1.1972787667149305,1105,,38160895,1105,1031930,1.2869918699186993,2.118000000000001,55.525,82777,33513.666666666664,126951.83333333333,-54771,1428733,BEARISH_CONTINUE,t,f,NEUTRAL,NEUTRAL_PREDICT,171885,-277515,1691755,247258.66
2025-12-19 14:20:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,11968035,26191755,-224700,-52815,798900,892855,7.418000000000001,9.475999999999999,2025-12-20 01:36:24,2.1884758024186928,1.1176054575040681,171885,-0.2350467289719626,38159790,-277515,1691755,1.2774332704232945,2.057999999999998,100,32950,33201.666666666664,127262.5,-35728,1342503,BEARISH_CONTINUE,t,f,STRONG_BEARISH,BEARISH_PREDICT,65,65,2453250,247100.89
2025-12-19 14:18:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,12192735,26244570,0,65,783475,1669775,7.481999999999999,9.44,2025-12-20 01:36:22,2.152476044136119,2.131242222151313,65,,38437305,65,2453250,1.2616947340283347,1.9580000000000002,50.325,-1414,37311.666666666664,121537.33333333333,19788,1302592,BEARISH_CONTINUE,f,t,NEUTRAL,BEARISH_PREDICT,240765,2555,660350,248019.38
2025-12-19 14:17:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,12192735,26244505,-119105,121660,292585,367765,7.539999999999999,9.432,2025-12-20 01:36:21,2.1524707130926735,1.256950971512552,240765,1.0214516602997354,38437240,2555,660350,1.250928381962865,1.8920000000000012,100,-23544,44120,121530.83333333333,18364,983320,BEARISH_CONTINUE,t,f,STRONG_BEARISH,BEARISH_PREDICT,65,-65,1306380,248022.68
2025-12-19 14:16:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,12311840,26122845,-65,0,530450,775930,7.553999999999999,9.414,2025-12-20 01:36:20,2.1217661210672003,1.462776887548308,65,0,38434685,-65,1306380,1.2462271644162033,1.8600000000000003,50.325,-71723,28073.333333333332,126536.33333333333,17827,1154575,BEARISH_TURN,t,t,NEUTRAL,BEARISH_PREDICT,-248030,96320,600780,251995.47
2025-12-19 14:14:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,12311905,26122845,172175,-75855,264135,336645,7.566,9.4,2025-12-20 01:36:17,2.12175491932402,1.2745187120222614,-248030,-0.44056918832583125,38434750,96320,600780,1.2424002114723764,1.8340000000000005,0,-105924,50417,126516.83333333333,21228,1121146,BULLISH_TURN,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,65,65,1492200,252005.61
2025-12-19 14:12:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,12139730,26198700,0,65,595855,896345,7.476000000000001,9.437999999999999,2025-12-20 01:36:15,2.1580957731349875,1.5043005429173204,65,,38338430,65,1492200,1.2624398073836274,1.961999999999998,50.325,-56292,66965.33333333333,157656.66666666666,1990,1266762,BEARISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,-110585,-7055,856890,261661.01
