time,open,high,low,close,EMA 7,RSI
2025-12-31T10:33:00+05:30,84874.2,84908.81,84870.04,84885.18,84841.89771036859,72.04362453942802
2025-12-31T10:36:00+05:30,84885.51,84892.95,84871.86,84878.54,84851.05828277644,68.86108258456169
2025-12-31T10:39:00+05:30,84877.15,84912.49,84859.19,84911.17,84866.08621208233,75.15375508066367
2025-12-31T10:42:00+05:30,84923.08,84940.08,84903.73,84932.03,84882.57215906175,78.40811900852428
2025-12-31T10:45:00+05:30,84927.2,84954.41,84897.87,84919.47,84891.7966192963,71.8017544359131
2025-12-31T10:48:00+05:30,84920.2,84920.2,84890.74,84909.57,84896.23996447223,66.63854929959936
2025-12-31T10:51:00+05:30,84901.8,84929.92,84891.82,84928.65,84904.34247335418,71.28188625683114
2025-12-31T10:54:00+05:30,84929.06,84930.31,84907.7,84923.95,84909.24435501563,68.540326482462
2025-12-31T10:57:00+05:30,84925.4,84942.07,84916.35,84940.96,84917.17326626173,72.93546311983576
2025-12-31T11:00:00+05:30,84943.07,84957.12,84927.2,84946.93,84924.61244969629,74.39991907729323
2025-12-31T11:03:00+05:30,84948.51,84974.16,84944,84957.76,84932.89933727222,77.03037231706939
2025-12-31T11:06:00+05:30,84955.55,84971.92,84948.03,84954.45,84938.28700295417,74.30785712415226
2025-12-31T11:09:00+05:30,84954.99,84960.45,84937.27,84944.17,84939.75775221562,65.87214016965189
2025-12-31T11:12:00+05:30,84944.74,84972.56,84939.98,84965.3,84946.14331416172,73.17483081669846
2025-12-31T11:15:00+05:30,84963.28,85008.87,84959.54,84983.08,84955.37748562128,77.83162246609226
2025-12-31T11:18:00+05:30,84980.2,85012.68,84947.61,84948.11,84953.56061421597,55.659973341003436
2025-12-31T11:21:00+05:30,84948,84980.37,84935.43,84948.08,84952.19046066198,55.64410858070365
2025-12-31T11:24:00+05:30,84947.05,84965.07,84939.04,84951.04,84951.90284549649,57.053198134674346
2025-12-31T11:27:00+05:30,84950.25,84956.42,84914.36,84939.73,84948.85963412236,49.97592711818031
2025-12-31T11:30:00+05:30,84926.86,84942.21,84909.92,84935.01,84945.39722559176,47.12947045445652
2025-12-31T11:33:00+05:30,84935.49,84963.35,84926,84938.66,84943.71291919381,49.71347343787755
2025-12-31T11:36:00+05:30,84939.89,84993.28,84939.89,84986.19,84954.33218939535,71.1412923812524
2025-12-31T11:39:00+05:30,84988.05,85016.12,84979.35,85003.16,84966.53914204652,75.49144806000385
2025-12-31T11:42:00+05:30,85002.64,85028.82,84998.15,85019.85,84979.86685653489,79.10540634151727
2025-12-31T11:45:00+05:30,85013.3,85013.3,84977.25,85000.34,84984.98514240117,65.86077074785806
2025-12-31T11:48:00+05:30,84996.28,85038.99,84992.8,85037.25,84998.05135680088,75.07257702922632
2025-12-31T11:51:00+05:30,85037.64,85066.97,85020.4,85065.79,85014.98601760066,79.95245529595994
2025-12-31T11:54:00+05:30,85063.91,85069.41,85002.88,85022.2,85016.78951320049,59.27550238478246
2025-12-31T11:57:00+05:30,85027.21,85044.62,85016.33,85037.79,85022.03963490037,63.242044888445704
2025-12-31T12:00:00+05:30,85036.47,85054.67,84987.61,85035.07,85025.29722617529,62.01260879931116
2025-12-31T12:03:00+05:30,85034.47,85051.71,85006.55,85007.43,85020.83041963147,50.397463291951944
2025-12-31T12:06:00+05:30,85007.55,85056.25,85007.55,85054.47,85029.2403147236,63.84378904580302
2025-12-31T12:09:00+05:30,85055.31,85072.03,85051.9,85059.52,85036.8102360427,65.03106851529557
2025-12-31T12:12:00+05:30,85063,85087.67,85053.56,85085.62,85049.01267703202,70.8105833293813
2025-12-31T12:15:00+05:30,85085.44,85089.03,85069.18,85070.96,85054.49950777402,63.89087041954747
2025-12-31T12:18:00+05:30,85071.13,85092.54,85066.55,85086.07,85062.39213083051,67.68780918304607
2025-12-31T12:21:00+05:30,85085.19,85093.97,85071.99,85081.19,85067.09159812289,65.10819717151668
2025-12-31T12:24:00+05:30,85081.6,85123.5,85068.89,85088.95,85072.55619859217,67.41222306986228
2025-12-31T12:27:00+05:30,85089.01,85111.93,85086.06,85104.66,85080.58214894413,71.80901094311776
2025-12-31T12:30:00+05:30,85104.49,85128.19,85101.31,85128.19,85092.4841117081,77.18735872272312
2025-12-31T12:33:00+05:30,85127.66,85159.8,85115.82,85158.5,85108.98808378106,82.27062439416386
2025-12-31T12:36:00+05:30,85157.52,85174.79,85144.05,85166.87,85123.45856283579,83.45813633487734
2025-12-31T12:39:00+05:30,85166.91,85184.56,85153.02,85183.92,85138.57392212684,85.72969300296319
2025-12-31T12:42:00+05:30,85184.15,85202.31,85171.1,85200.85,85154.14294159514,87.68825807859082
2025-12-31T12:45:00+05:30,85200.63,85238.25,85200.63,85231.5,85173.48220619635,90.45515944695805
2025-12-31T12:48:00+05:30,85228.7,85258.62,85228.36,85251.93,85193.09415464726,91.87511868634226
2025-12-31T12:51:00+05:30,85251.2,85287.89,85248.61,85287.11,85216.59811598544,93.7446510897612
2025-12-31T12:54:00+05:30,85287.72,85302.87,85275.01,85286.09,85233.97108698908,93.02063801099118
2025-12-31T12:57:00+05:30,85285.2,85310.8,85283.16,85291.54,85248.36331524182,93.34121900133239
2025-12-31T13:00:00+05:30,85292.06,85320.05,85292.06,85293.14,85259.55748643137,93.44435440657297
2025-12-31T13:03:00+05:30,85298.32,85305.45,85289.27,85296.53,85268.80061482353,93.68608857340398
2025-12-31T13:06:00+05:30,85298.71,85298.71,85279.57,85284.68,85272.77046111765,81.43930429760674
2025-12-31T13:09:00+05:30,85283.52,85299.82,85282.47,85291.93,85277.56034583822,83.0233423066541
2025-12-31T13:12:00+05:30,85294.78,85313.55,85290.83,85312.23,85286.22775937867,86.72442980185801
2025-12-31T13:15:00+05:30,85313.9,85315.85,85279.59,85279.59,85284.56831953401,61.55220188119883
2025-12-31T13:18:00+05:30,85278.96,85307.45,85259.33,85307.45,85290.28873965051,70.1733088092699
2025-12-31T13:21:00+05:30,85302.92,85345.91,85291.13,85344.7,85303.89155473789,77.90240250357058
2025-12-31T13:24:00+05:30,85345.19,85346.07,85302.81,85313.3,85306.24366605341,62.08136639112644
2025-12-31T13:27:00+05:30,85313.67,85335.83,85304.86,85304.86,85305.89774954006,58.3643754625786
2025-12-31T13:30:00+05:30,85304.97,85351.76,85304.97,85324.12,85310.45331215505,64.08867429651515
2025-12-31T13:33:00+05:30,85326.05,85338.74,85285.23,85319.16,85312.62998411628,61.54634577293303
2025-12-31T13:36:00+05:30,85318.61,85318.61,85258.24,85272.36,85302.56248808722,42.83934482137266
2025-12-31T13:39:00+05:30,85272.21,85297.56,85255.95,85296.77,85301.11436606542,51.761406971700204
2025-12-31T13:42:00+05:30,85297.82,85314.41,85267.72,85292.04,85298.84577454906,49.99718294611219
2025-12-31T13:45:00+05:30,85288.47,85326.89,85279.73,85301.44,85299.4943309118,53.659233808244025
2025-12-31T13:48:00+05:30,85299.02,85332.66,85289.03,85319.75,85304.55824818385,60.27135667125849
2025-12-31T13:51:00+05:30,85315.94,85335.55,85298.7,85298.7,85303.09368613789,50.58968734087153
2025-12-31T13:54:00+05:30,85297.55,85333.93,85296.59,85322.62,85307.97526460342,59.26463322164069
2025-12-31T13:57:00+05:30,85321.8,85401.1,85321.8,85374.36,85324.57144845257,71.77150974375495
2025-12-31T14:00:00+05:30,85374.83,85376.86,85299.87,85313.16,85321.71858633943,50.41228790481227
2025-12-31T14:03:00+05:30,85310.42,85339.46,85308.12,85335.67,85325.20643975458,56.027720135638226
2025-12-31T14:06:00+05:30,85333.9,85377.24,85331.69,85339.46,85328.76982981594,56.98457020032298
2025-12-31T14:09:00+05:30,85340.79,85370.59,85338.35,85354.82,85335.28237236195,60.997454637775974
2025-12-31T14:12:00+05:30,85355.17,85358.37,85346.38,85348,85338.46177927146,58.185630962808176
2025-12-31T14:15:00+05:30,85348.86,85353.19,85320.13,85320.45,85333.95883445359,47.80087617961279
2025-12-31T14:18:00+05:30,85323.54,85357.15,85318.36,85347.39,85337.31662584019,56.63126843507292
2025-12-31T14:21:00+05:30,85349.86,85358.06,85299.46,85302.28,85328.55746938015,42.5646946138464
2025-12-31T14:24:00+05:30,85303.94,85348.19,85285.69,85330.75,85329.10560203511,51.4449918354306
