entry_timestamp,exit_timestamp,exchange,position_id,symbol,type,side,quantity,entry_price,exit_price,pnl,entry_reason,exit_reason,status,confidence,kelly_fraction,constraint_violation,signal_id
2025-12-03 10:04:30,2025-12-03 14:01:15,BSE,BSE_AUTO_0008,SENSEX25D0484600CE,CE,BUY,20,414.2,277.0,194.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.976693112075927,0.309,False,BSE-1764736470590-512
2025-12-03 10:09:34,2025-12-03 14:05:16,BSE,BSE_AUTO_0009,SENSEX25D0484600CE,CE,BUY,20,406.55,401.2,1000.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9956002442748324,0.309,False,BSE-1764736774563-565
2025-12-03 10:14:57,2025-12-03 14:10:19,BSE,BSE_AUTO_0010,SENSEX25D0484700CE,CE,BUY,20,356.3,281.95,-243.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.95484554186644,0.309,False,BSE-1764737096962-621
2025-12-03 10:41:29,2025-12-03 14:20:44,NSE,NSE_AUTO_0001,NIFTY25DEC25900PE,PE,SELL,75,215.5,215.0,588.75,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9720537736642711,0.309,False,NSE-1764738689911-186
2025-12-03 10:46:39,2025-12-03 14:25:47,NSE,NSE_AUTO_0002,NIFTY25DEC25900PE,PE,SELL,75,211.55,370.4,960.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.9783322455812484,0.309,False,NSE-1764738999462-236
2025-12-03 11:24:14,2025-12-03 13:30:52,BSE,BSE_AUTO_0001,SENSEX25D0484600CE,CE,BUY,20,360.35,382.7,912.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.710189113824678,0.309,False,BSE-1764741254282-680
2025-12-03 11:33:27,2025-12-03 13:30:52,BSE,BSE_AUTO_0002,SENSEX25D0485100PE,PE,SELL,20,322.79999999999995,382.7,899.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.6642410086288264,0.309,False,BSE-1764741807543-781
2025-12-03 11:38:28,2025-12-03 13:46:06,BSE,BSE_AUTO_0003,SENSEX25D0485100PE,PE,SELL,20,303.7,313.6,1100.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9738562156599484,0.309,False,BSE-1764742108411-836
2025-12-03 11:43:32,2025-12-03 13:46:06,BSE,BSE_AUTO_0004,SENSEX25D0485100PE,PE,SELL,20,293.15,313.6,1048.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.8685891748137614,0.309,False,BSE-1764742412339-892
2025-12-03 13:20:46,2025-12-03 13:30:52,BSE,BSE_AUTO_0001,SENSEX25D0484700CE,CE,BUY,20,337.1,382.7,912.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.9846117531977124,0.309,False,BSE-1764748246570-54
2025-12-03 13:25:49,2025-12-03 13:30:52,BSE,BSE_AUTO_0002,SENSEX25D0484700CE,CE,BUY,20,337.75,382.7,899.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.7098798199294123,0.309,False,BSE-1764748549466-108
2025-12-03 13:30:52,2025-12-03 13:46:06,BSE,BSE_AUTO_0003,SENSEX25D0485100PE,PE,BUY,20,258.6,313.6,1100.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9603540329006776,0.309,False,BSE-1764748852460-162
